Statistic Label,Month,Airport,VALUE,Year
Passengers,1,Dublin,969467,2022
Passengers,1,Cork,65166,2022
Passengers,1,Shannon,42015,2022
Passengers,1,Knock,13820,2022
Passengers,1,Kerry,7158,2022
Passengers,2,Dublin,1313651,2022
Passengers,2,Cork,96947,2022
Passengers,2,Shannon,57910,2022
Passengers,2,Knock,32660,2022
Passengers,2,Kerry,15579,2022
Passengers,3,Dublin,1816453,2022
Passengers,3,Cork,126210,2022
Passengers,3,Shannon,81286,2022
Passengers,3,Knock,39901,2022
Passengers,3,Kerry,22099,2022
Passengers,4,Dublin,2369756,2022
Passengers,4,Cork,192275,2022
Passengers,4,Shannon,123923,2022
Passengers,4,Knock,69961,2022
Passengers,4,Kerry,33828,2022
Passengers,5,Dublin,2582957,2022
Passengers,5,Cork,204036,2022
Passengers,5,Shannon,135026,2022
Passengers,5,Knock,63041,2022
Passengers,5,Kerry,33047,2022
Passengers,6,Dublin,2826982,2022
Passengers,6,Cork,248904,2022
Passengers,6,Shannon,148990,2022
Passengers,6,Knock,67026,2022
Passengers,6,Kerry,35218,2022
Passengers,7,Dublin,3038562,2022
Passengers,7,Cork,265597,2022
Passengers,7,Shannon,164397,2022
Passengers,7,Knock,86617,2022
Passengers,7,Kerry,40073,2022
Passengers,8,Dublin,3045763,2022
Passengers,8,Cork,269799,2022
Passengers,8,Shannon,159082,2022
Passengers,8,Knock,92213,2022
Passengers,8,Kerry,41433,2022
Passengers,9,Dublin,2756408,2022
Passengers,9,Cork,232410,2022
Passengers,9,Shannon,141557,2022
Passengers,9,Knock,73765,2022
Passengers,9,Kerry,36563,2022
Passengers,10,Dublin,2689961,2022
Passengers,10,Cork,205807,2022
Passengers,10,Shannon,133549,2022
Passengers,10,Knock,73188,2022
Passengers,10,Kerry,36143,2022
Passengers,11,Dublin,2194199,2022
Passengers,11,Cork,166913,2022
Passengers,11,Shannon,115403,2022
Passengers,11,Knock,48705,2022
Passengers,11,Kerry,25883,2022
Passengers,12,Dublin,2189186,2022
Passengers,12,Cork,164391,2022
Passengers,12,Shannon,118820,2022
Passengers,12,Knock,48643,2022
Passengers,12,Kerry,28019,2022
Passengers,1,Dublin,2091443,2023
Passengers,1,Cork,160857,2023
Passengers,1,Shannon,105259,2023
Passengers,1,Knock,37639,2023
Passengers,1,Kerry,21563,2023
Passengers,2,Dublin,2038737,2023
Passengers,2,Cork,157329,2023
Passengers,2,Shannon,96916,2023
Passengers,2,Knock,43812,2023
Passengers,2,Kerry,24612,2023
Passengers,3,Dublin,2459390,2023
Passengers,3,Cork,180655,2023
Passengers,3,Shannon,126318,2023
Passengers,3,Knock,51206,2023
Passengers,3,Kerry,26172,2023
Passengers,4,Dublin,2811699,2023
Passengers,4,Cork,249691,2023
Passengers,4,Shannon,171325,2023
Passengers,4,Knock,76913,2023
Passengers,4,Kerry,40955,2023
Passengers,5,Dublin,3027112,2023
Passengers,5,Cork,262358,2023
Passengers,5,Shannon,178919,2023
Passengers,5,Knock,71170,2023
