Statistic Label,Month,Airport,VALUE,Year
Passengers,2021 July,Kerry,5380,2021
Passengers,2021 August,Dublin,1233212,2021
Passengers,2021 August,Cork,73640,2021
Passengers,2021 August,Shannon,47540,2021
Passengers,2021 August,Knock,25307,2021
Passengers,2021 August,Kerry,20811,2021
Passengers,2021 September,Dublin,1330636,2021
Passengers,2021 September,Cork,28168,2021
Passengers,2021 September,Shannon,53895,2021
Passengers,2021 September,Knock,34333,2021
Passengers,2021 September,Kerry,19235,2021
Passengers,2021 October,Dublin,1543404,2021
Passengers,2021 October,Cork,0,2021
Passengers,2021 October,Shannon,71853,2021
Passengers,2021 October,Knock,42943,2021
Passengers,2021 October,Kerry,27229,2021
Passengers,2021 November,Dublin,1382610,2021
Passengers,2021 November,Cork,14933,2021
Passengers,2021 November,Shannon,63560,2021
Passengers,2021 November,Knock,33438,2021
Passengers,2021 November,Kerry,21588,2021
Passengers,2021 December,Dublin,1177562,2021
Passengers,2021 December,Cork,72415,2021
Passengers,2021 December,Shannon,48844,2021
Passengers,2021 December,Knock,25805,2021
Passengers,2021 December,Kerry,14866,2021
Passengers,2022 January,Dublin,969467,2022
Passengers,2022 January,Cork,65166,2022
Passengers,2022 January,Shannon,42015,2022
Passengers,2022 January,Knock,13820,2022
Passengers,2022 January,Kerry,7158,2022
Passengers,2022 February,Dublin,1313651,2022
Passengers,2022 February,Cork,96947,2022
Passengers,2022 February,Shannon,57910,2022
Passengers,2022 February,Knock,32660,2022
Passengers,2022 February,Kerry,15579,2022
Passengers,2022 March,Dublin,1816453,2022
Passengers,2022 March,Cork,126210,2022
Passengers,2022 March,Shannon,81286,2022
Passengers,2022 March,Knock,39901,2022
Passengers,2022 March,Kerry,22099,2022
Passengers,2022 April,Dublin,2369756,2022
Passengers,2022 April,Cork,192275,2022
Passengers,2022 April,Shannon,123923,2022
Passengers,2022 April,Knock,69961,2022
Passengers,2022 April,Kerry,33828,2022
Passengers,2022 May,Dublin,2582957,2022
Passengers,2022 May,Cork,204036,2022
Passengers,2022 May,Shannon,135026,2022
Passengers,2022 May,Knock,63041,2022
Passengers,2022 May,Kerry,33047,2022
Passengers,2022 June,Dublin,2826982,2022
Passengers,2022 June,Cork,248904,2022
Passengers,2022 June,Shannon,148990,2022
Passengers,2022 June,Knock,67026,2022
Passengers,2022 June,Kerry,35218,2022
Passengers,2022 July,Dublin,3038562,2022
Passengers,2022 July,Cork,265597,2022
Passengers,2022 July,Shannon,164397,2022
Passengers,2022 July,Knock,86617,2022
Passengers,2022 July,Kerry,40073,2022
Passengers,2022 August,Dublin,3045763,2022
Passengers,2022 August,Cork,269799,2022
Passengers,2022 August,Shannon,159082,2022
Passengers,2022 August,Knock,92213,2022
Passengers,2022 August,Kerry,41433,2022
Passengers,2022 September,Dublin,2756408,2022
Passengers,2022 September,Cork,232410,2022
Passengers,2022 September,Shannon,141557,2022
Passengers,2022 September,Knock,73765,2022
Passengers,2022 September,Kerry,36563,2022
Passengers,2022 October,Dublin,2689961,2022
Passengers,2022 October,Cork,205807,2022
Passengers,2022 October,Shannon,133549,2022
Passengers,2022 October,Knock,73188,2022
Passengers,2022 October,Kerry,36143,2022
Passengers,2022 November,Dublin,2194199,2022
Passengers,2022 November,Cork,166913,2022
Passengers,2022 November,Shannon,115403,2022
Passengers,2022 November,Knock,48705,2022
Passengers,2022 November,Kerry,25883,2022
Passengers,2022 December,Dublin,2189186,2022
Passengers,2022 December,Cork,164391,2022
Passengers,2022 December,Shannon,118820,2022
Passengers,2022 December,Knock,48643,2022
Passengers,2022 December,Kerry,28019,2022
Passengers,2023 January,Dublin,2091443,2023
Passengers,2023 January,Cork,160857,2023
Passengers,2023 January,Shannon,105259,2023
Passengers,2023 January,Knock,37639,2023
Passengers,2023 January,Kerry,21563,2023
Passengers,2023 February,Dublin,2038737,2023
Passengers,2023 February,Cork,157329,2023
Passengers,2023 February,Shannon,96916,2023
Passengers,2023 February,Knock,43812,2023
