Statistic Label,Month,Airport,VALUE,Year
Passengers,2019 September,Knock,76300.0,2019
Passengers,2019 September,Kerry,35721.0,2019
Passengers,2019 October,Dublin,2865397.0,2019
Passengers,2019 October,Cork,215482.0,2019
Passengers,2019 October,Shannon,138218.0,2019
Passengers,2019 October,Knock,72299.0,2019
Passengers,2019 October,Kerry,31790.0,2019
Passengers,2019 November,Dublin,2240194.0,2019
Passengers,2019 November,Cork,171693.0,2019
Passengers,2019 November,Shannon,104148.0,2019
Passengers,2019 November,Knock,55255.0,2019
Passengers,2019 November,Kerry,25151.0,2019
Passengers,2019 December,Dublin,2280391.0,2019
Passengers,2019 December,Cork,163248.0,2019
Passengers,2019 December,Shannon,99050.0,2019
Passengers,2019 December,Knock,52899.0,2019
Passengers,2019 December,Kerry,25737.0,2019
Passengers,2020 January,Dublin,2082481.0,2020
Passengers,2020 January,Cork,158078.0,2020
Passengers,2020 January,Shannon,85974.0,2020
Passengers,2020 January,Knock,40272.0,2020
Passengers,2020 January,Kerry,21572.0,2020
Passengers,2020 February,Dublin,2030643.0,2020
Passengers,2020 February,Cork,159121.0,2020
Passengers,2020 February,Shannon,86800.0,2020
Passengers,2020 February,Knock,45263.0,2020
Passengers,2020 February,Kerry,22699.0,2020
Passengers,2020 March,Dublin,1026004.0,2020
Passengers,2020 March,Cork,80188.0,2020
Passengers,2020 March,Shannon,43454.0,2020
Passengers,2020 March,Knock,22436.0,2020
Passengers,2020 March,Kerry,11492.0,2020
Passengers,2020 April,Dublin,23951.0,2020
Passengers,2020 April,Cork,1140.0,2020
Passengers,2020 April,Shannon,85.0,2020
Passengers,2020 April,Knock,0.0,2020
Passengers,2020 April,Kerry,110.0,2020
Passengers,2020 May,Dublin,42661.0,2020
Passengers,2020 May,Cork,2116.0,2020
Passengers,2020 May,Shannon,17.0,2020
Passengers,2020 May,Knock,0.0,2020
Passengers,2020 May,Kerry,219.0,2020
Passengers,2020 June,Dublin,88980.0,2020
Passengers,2020 June,Cork,4623.0,2020
Passengers,2020 June,Shannon,18.0,2020
Passengers,2020 June,Knock,0.0,2020
Passengers,2020 June,Kerry,479.0,2020
Passengers,2020 July,Dublin,374443.0,2020
Passengers,2020 July,Cork,27631.0,2020
Passengers,2020 July,Shannon,14607.0,2020
Passengers,2020 July,Knock,8072.0,2020
Passengers,2020 July,Kerry,6528.0,2020
Passengers,2020 August,Dublin,509910.0,2020
Passengers,2020 August,Cork,39951.0,2020
Passengers,2020 August,Shannon,19871.0,2020
Passengers,2020 August,Knock,13707.0,2020
Passengers,2020 August,Kerry,8337.0,2020
Passengers,2020 September,Dublin,386058.0,2020
Passengers,2020 September,Cork,22705.0,2020
Passengers,2020 September,Shannon,11027.0,2020
Passengers,2020 September,Knock,5734.0,2020
Passengers,2020 September,Kerry,5103.0,2020
Passengers,2020 October,Dublin,253972.0,2020
Passengers,2020 October,Cork,16714.0,2020
Passengers,2020 October,Shannon,8011.0,2020
Passengers,2020 October,Knock,4661.0,2020
Passengers,2020 October,Kerry,3188.0,2020
Passengers,2020 November,Dublin,166835.0,2020
Passengers,2020 November,Cork,6108.0,2020
Passengers,2020 November,Shannon,1823.0,2020
Passengers,2020 November,Knock,1343.0,2020
